Mat	E (MeV)	Width	FWHM	FWTM	eHalf	eTen	eDep	raport	scintillations	entries	entriesComputed	entriesRatio	analiticalRatio	energyRatio
CsI	3	0.5	0.014	0.27	3040.5108	19123.7486	30011.0231	63.7224	1620595246.159	93668.0	83557.5003	0.9367	0.8356	0.1
CsI	3	1.0	0.021	0.475	10092.5537	75078.0495	111597.2876	67.2759	6026253527.7888	176502.0	166416.815	1.765	1.6642	0.372
CsI	3	2	0.031	0.703	31424.3217	239773.3432	328173.6827	73.0629	17721378865.1196	339299.0	330064.1745	3.393	3.3006	1.0939
CsI	3	4	0.035	0.825	73852.009	592554.9754	779292.1638	76.0376	42081776845.7892	656298.0	649234.113	6.563	6.4923	2.5976
CsI	5	0.5	0.013	0.198	3444.4848	16833.7991	28009.263	60.1008	1512500200.1691	89144.0	81343.457	0.8914	0.8134	0.056
CsI	5	1.0	0.021	0.375	12024.3674	69504.9031	111846.1418	62.1433	6039691655.7808	169927.0	162025.2382	1.6993	1.6203	0.2237
CsI	5	2	0.029	0.633	35779.4472	249622.2861	364730.5726	68.4402	19695450918.3176	328755.0	321425.2586	3.2876	3.2143	0.7295
CsI	5	4	0.035	0.839	90037.0439	695269.2006	943752.0104	73.6708	50962608563.7835	638471.0	632519.0974	6.3847	6.3252	1.8875
CsI	10	0.5	0.009	0.09	4727.4157	16304.1034	28567.4812	57.0722	1542643984.9645	96450.0	90464.8211	0.9645	0.9046	0.0286
CsI	10	1.0	0.013	0.179	14771.5004	65559.4975	117667.7561	55.7158	6354058828.6204	185624.0	180111.2538	1.8562	1.8011	0.1177
CsI	10	2	0.017	0.324	41746.5005	243282.3437	427910.5392	56.8536	23107169117.6955	362261.0	356978.5012	3.6226	3.5698	0.4279
CsI	10	4	0.021	0.508	106718.748	769511.8471	1263797.6077	60.8889	68245070818.4166	705576.0	701213.6374	7.0558	7.0121	1.2638
LYSO	0.1	0.5	0.0	0.001	499687.7348	610447.3688	638086.9947	95.6684	25523479787.121	6486151.0	6034685.8093	64.8615	60.3469	63.8087
LYSO	0.1	1.0	0.0	0.001	676784.2406	827304.8182	868196.4755	95.29	34727859018.0314	8760618.0	8427628.3369	87.6062	84.2763	86.8196
LYSO	0.1	2	0.0	0.001	761301.7889	930763.4941	979077.7397	95.0653	39163109588.5155	9845912.0	9752764.7353	98.4591	97.5276	97.9078
LYSO	0.1	4	0.0	0.001	773122.4251	945238.9077	994731.0137	95.0246	39789240549.4606	9997617.0	9993887.4724	99.9762	99.9389	99.4731
LYSO	0.5	0.5	0.0	0.017	11692.2892	41338.5311	109784.6537	37.6542	4391386146.1409	432162.0	401315.1625	4.3216	4.0132	2.1957
LYSO	0.5	1.0	0.0	0.021	23469.4644	98820.2905	229528.0131	43.0537	9181120524.1125	820796.0	786524.9391	8.208	7.8652	4.5906
LYSO	0.5	2	0.0	0.023	45687.5398	208966.7857	459918.8359	45.4356	18396753435.5918	1550373.0	1511187.7301	15.5037	15.1119	9.1984
LYSO	0.5	4	0.0	0.023	85077.2012	396695.5009	876184.6667	45.2753	35047386667.5833	2843535.0	2794006.6247	28.4354	27.9401	17.5237
LYSO	1	0.5	0.0	0.087	3207.5372	50342.7744	95173.2908	52.8959	3806931633.048	250136.0	229247.4178	2.5014	2.2925	0.9517
LYSO	1	1.0	0.0	0.096	6540.8762	117837.524	215209.9291	54.7547	8608397165.5486	475258.0	453239.3978	4.7526	4.5324	2.1521
LYSO	1	2	0.0	0.102	13261.0609	259739.8982	451916.5115	57.4752	18076660458.8745	910235.0	885936.2004	9.1024	8.8594	4.5192
LYSO	1	4	0.0	0.104	25954.8573	526771.9104	899666.0221	58.5519	35986640885.8214	1720884.0	1693384.1057	17.2088	16.9338	8.9967
LYSO	3	0.5	0.009	0.232	6980.6691	54868.8254	88760.1081	61.817	3550404325.1599	153254.0	141294.2927	1.5325	1.4129	0.2959
LYSO	3	1.0	0.013	0.377	21398.4141	194373.913	297451.4855	65.3464	11898059421.1948	293840.0	280592.1776	2.9384	2.8059	0.9915
LYSO	3	2	0.017	0.481	57511.5012	528965.0855	774545.6645	68.2936	30981826579.9261	568491.0	553311.1582	5.6849	5.5331	2.5818
LYSO	3	4	0.019	0.533	128722.3555	1190690.6288	1703083.3537	69.9138	68123334147.4487	1094290.0	1076006.9926	10.9429	10.7601	5.6769
LYSO	5	0.5	0.011	0.189	9248.1156	50043.2488	86481.7788	57.8657	3459271152.0517	144531.0	133959.6462	1.4453	1.3396	0.173
LYSO	5	1.0	0.017	0.36	30250.2937	201488.2319	330028.1445	61.0518	13201125781.0625	279049.0	266124.7737	2.7905	2.6612	0.6601
LYSO	5	2	0.021	0.559	79997.0008	661157.1586	994279.8002	66.4961	39771192009.0097	542274.0	525167.3078	5.4227	5.2517	1.9886
LYSO	5	4	0.025	0.686	191682.0609	1668715.4441	2379908.6147	70.1168	95196344587.3502	1046419.0	1022754.5455	10.4642	10.2275	4.7598
LYSO	10	0.5	0.009	0.096	13206.9042	46769.2396	85388.2944	54.7724	3415531776.3705	153665.0	143956.7695	1.5366	1.4396	0.0854
LYSO	10	1.0	0.011	0.185	36289.8969	184562.9317	348776.4354	52.9173	13951057416.167	298995.0	285841.1838	2.99	2.8584	0.3488
LYSO	10	2	0.015	0.334	102262.1773	670627.3764	1214745.8477	55.2072	48589833909.6507	583009.0	563511.8494	5.8301	5.6351	1.2147
LYSO	10	4	0.017	0.502	238604.9432	1998430.8531	3347475.6756	59.6996	133899027024.4244	1126054.0	1095269.1384	11.2605	10.9527	3.3475
