Mat	E (MeV)	Width	DimX	EnerX	eDep	raport
BGO	0.1	0.5	0.001	676813.6432	729778.9981	92.7423
BGO	0.1	1.0	0.001	853133.16	923009.2371	92.4295
BGO	0.1	2	0.001	910875.8862	986859.3925	92.3005
BGO	0.1	4	0.001	915043.8721	991512.4899	92.2877
BGO	0.5	0.5	0.153	126393.7311	140239.3345	90.1272
BGO	0.5	1.0	0.143	260998.8143	289704.9523	90.0913
BGO	0.5	2	0.145	518717.9435	575235.3968	90.1749
BGO	0.5	4	0.153	974205.0346	1082308.1031	90.0118
BGO	1	0.5	0.351	93210.2669	103466.1785	90.0877
BGO	1	1.0	0.355	210476.5539	233652.4241	90.081
BGO	1	2	0.351	442109.5057	490717.3265	90.0945
BGO	1	4	0.347	878880.0676	975806.0467	90.0671
BGO	3	0.5	0.789	81715.6365	90780.5348	90.0145
BGO	3	1.0	0.959	269181.7518	299034.3549	90.017
BGO	3	2	1.035	697308.8159	774493.026	90.0342
BGO	3	4	1.065	1531157.6689	1700921.6436	90.0193
BGO	5	0.5	0.895	80521.6419	89440.2392	90.0284
BGO	5	1.0	1.113	302793.1553	336293.8739	90.0383
BGO	5	2	1.241	903391.5988	1003680.53	90.0079
BGO	5	4	1.295	2153296.4017	2391490.4977	90.0399
BGO	10	0.5	0.857	80284.2777	89190.5267	90.0144
BGO	10	1.0	1.061	321549.752	357158.9833	90.0299
BGO	10	2	1.259	1106267.0177	1228954.2596	90.0169
BGO	10	4	1.371	3020343.7342	3354894.2023	90.028
CsI	0.1	0.5	0.009	316967.8911	338196.2405	93.7231
CsI	0.1	1.0	0.007	506674.2449	562930.5781	90.0065
CsI	0.1	2	0.009	756990.8388	806957.3611	93.808
CsI	0.1	4	0.009	894449.1715	954982.0355	93.6614
CsI	0.5	0.5	0.277	41874.8545	46500.2811	90.0529
CsI	0.5	1.0	0.257	89113.89	98962.6367	90.048
CsI	0.5	2	0.235	182328.7946	202456.1991	90.0584
CsI	0.5	4	0.229	358814.1671	398581.3186	90.0228
CsI	1	0.5	0.529	38594.7313	42870.1431	90.0271
CsI	1	1.0	0.523	94613.7524	105042.7595	90.0717
CsI	1	2	0.509	205897.6289	228636.9065	90.0544
CsI	1	4	0.499	421509.3958	468067.5695	90.0531
CsI	3	0.5	1.029	28396.8805	31544.7904	90.0208
CsI	3	1.0	1.161	102592.5022	113960.7347	90.0244
CsI	3	2	1.257	298483.8183	331630.507	90.0049
CsI	3	4	1.297	706250.0905	784620.3622	90.0117
CsI	5	0.5	1.151	26859.616	29843.7033	90.0009
CsI	5	1.0	1.221	103623.5836	115106.0452	90.0244
CsI	5	2	1.345	333529.9675	370469.6473	90.029
CsI	5	4	1.407	858888.608	954053.2601	90.0252
CsI	10	0.5	1.241	27864.5305	30957.5086	90.009
CsI	10	1.0	1.117	110124.7924	122324.3179	90.0269
CsI	10	2	1.265	393328.7932	437020.7817	90.0023
CsI	10	4	1.397	1154310.1203	1282087.6855	90.0336
LYSO	0.1	0.5	0.003	616373.1869	638414.8441	96.5474
LYSO	0.1	1.0	0.003	834932.6832	868433.508	96.1424
LYSO	0.1	2	0.003	939221.8542	979272.6438	95.9101
LYSO	0.1	4	0.003	953815.5797	994919.229	95.8686
LYSO	0.5	0.5	0.157	100354.5156	111484.9984	90.0162
LYSO	0.5	1.0	0.151	208464.6518	231221.3783	90.158
LYSO	0.5	2	0.155	415768.1217	461580.1776	90.075
LYSO	0.5	4	0.169	790173.8796	877846.1518	90.0128
LYSO	1	0.5	0.331	87083.891	96641.1684	90.1106
LYSO	1	1.0	0.333	195249.8245	216674.614	90.112
LYSO	1	2	0.327	408296.5355	453370.7486	90.058
LYSO	1	4	0.327	811077.3638	901172.6124	90.0024
LYSO	3	0.5	0.773	81776.0867	90856.194	90.0061
LYSO	3	1.0	0.945	270231.8111	300164.0286	90.028
LYSO	3	2	1.023	700076.2544	777625.7626	90.0274
LYSO	3	4	1.053	1536254.0951	1706770.7171	90.0094
LYSO	5	0.5	0.875	80286.3996	89204.881	90.0022
LYSO	5	1.0	1.099	301081.154	334411.1806	90.0332
LYSO	5	2	1.233	901002.4617	1000860.628	90.0228
LYSO	5	4	1.287	2151660.8411	2389991.4492	90.028
LYSO	10	0.5	0.833	80258.107	89156.8867	90.019
LYSO	10	1.0	1.035	320319.6692	355840.1818	90.0178
LYSO	10	2	1.243	1105351.9027	1227737.6861	90.0316
LYSO	10	4	1.363	3035607.2301	3371449.7269	90.0386
